Step,Reward,Total Mean,Total Reward
362726,550,384.4969199,374500
363085,400,384.5128205,374900
363570,600,384.7336066,375500
363967,350,384.6980553,375850
364278,350,384.6625767,376200
364616,350,384.6271706,376550
365061,500,384.744898,377050
365467,600,384.9643221,377650
365809,350,384.9287169,378000
366119,350,384.8931841,378350
366964,1050,385.5691057,379400
367237,200,385.3807107,379600
367584,400,385.3955375,380000
368020,350,385.3596758,380350
368246,200,385.1720648,380550
368538,250,385.0353893,380800
368944,500,385.1515152,381300
369344,450,385.2169526,381750
369644,250,385.0806452,382000
370142,450,385.1460222,382450
370460,400,385.1609658,382850
370715,250,385.0251256,383100
371030,350,384.9899598,383450
371421,400,385.005015,383850
371882,450,385.0701403,384300
372244,400,385.0850851,384700
372720,650,385.35,385350
373236,650,385.6143856,386000
373501,300,385.5289421,386300
373791,200,385.3439681,386500
374228,500,385.4581673,387000
374624,500,385.5721393,387500
375118,500,385.6858847,388000
375388,200,385.5014896,388200
375963,800,385.9126984,389000
376350,450,385.9762141,389450
