,0
1080,250.0
1081,350.0
1082,300.0
1083,400.0
1084,150.0
1085,100.0
1086,200.0
1087,100.0
1088,150.0
1089,200.0
1090,150.0
1091,300.0
1092,200.0
1093,300.0
1094,150.0
1095,400.0
1096,50.0
1097,150.0
1098,650.0
1099,450.0
1100,150.0
1101,150.0
1102,200.0
1103,250.0
1104,200.0
1105,200.0
1106,150.0
1107,400.0
1108,250.0
1109,300.0
1110,650.0
1111,350.0
1112,150.0
1113,200.0
1114,300.0
1115,300.0
1116,200.0
1117,300.0
1118,450.0
1119,350.0
1120,400.0
1121,250.0
1122,350.0
1123,250.0
1124,150.0
1125,600.0
1126,150.0
1127,300.0
1128,250.0
1129,100.0
1130,150.0
1131,250.0
1132,200.0
1133,400.0
1134,200.0
1135,950.0
1136,250.0
1137,600.0
1138,500.0
1139,250.0
1140,550.0
1141,250.0
1142,350.0
1143,100.0
1144,600.0
1145,100.0
1146,150.0
1147,300.0
1148,200.0
1149,400.0
1150,500.0
1151,650.0
1152,150.0
1153,250.0
1154,100.0
1155,600.0
1156,550.0
1157,550.0
1158,100.0
1159,850.0
1160,300.0
1161,250.0
1162,200.0
1163,150.0
1164,250.0
1165,250.0
1166,300.0
1167,250.0
1168,150.0
1169,250.0
1170,200.0
1171,350.0
1172,250.0
1173,150.0
1174,150.0
1175,250.0
1176,150.0
1177,250.0
1178,450.0
1179,200.0
1180,300.0
1181,300.0
1182,400.0
1183,500.0
1184,200.0
1185,150.0
1186,350.0
1187,350.0
1188,300.0
1189,300.0
1190,350.0
1191,350.0
1192,100.0
1193,200.0
1194,200.0
1195,400.0
1196,150.0
1197,500.0
1198,500.0
1199,600.0
1200,150.0
1201,250.0
1202,100.0
1203,350.0
1204,300.0
1205,200.0
1206,150.0
1207,150.0
1208,200.0
1209,200.0
1210,250.0
1211,150.0
1212,100.0
1213,400.0
1214,300.0
1215,250.0
1216,450.0
1217,200.0
1218,250.0
1219,150.0
1220,450.0
1221,150.0
1222,250.0
1223,350.0
1224,200.0
1225,450.0
1226,150.0
1227,450.0
1228,150.0
1229,350.0
1230,400.0
1231,200.0
1232,500.0
1233,300.0
1234,800.0
1235,100.0
1236,100.0
1237,350.0
1238,150.0
1239,400.0
1240,750.0
1241,350.0
1242,300.0
1243,400.0
1244,250.0
1245,150.0
1246,150.0
1247,250.0
1248,350.0
1249,500.0
1250,550.0
1251,100.0
1252,450.0
1253,200.0
1254,200.0
1255,500.0
1256,350.0
1257,300.0
1258,300.0
1259,100.0
1260,400.0
1261,300.0
1262,200.0
1263,150.0
1264,200.0
1265,200.0
1266,200.0
1267,500.0
1268,400.0
1269,350.0
1270,250.0
1271,200.0
1272,350.0
1273,150.0
1274,100.0
1275,550.0
1276,850.0
1277,100.0
1278,150.0
1279,100.0
1280,450.0
1281,100.0
1282,200.0
1283,150.0
1284,150.0
1285,250.0
1286,300.0
1287,200.0
1288,200.0
1289,100.0
1290,300.0
1291,150.0
1292,400.0
1293,100.0
1294,650.0
1295,150.0
1296,300.0
1297,400.0
1298,100.0
1299,400.0
1300,350.0
1301,150.0
1302,250.0
1303,150.0
1304,200.0
1305,400.0
1306,1250.0
1307,200.0
1308,350.0
1309,300.0
1310,250.0
1311,500.0
1312,550.0
1313,200.0
1314,150.0
1315,600.0
1316,350.0
1317,150.0
1318,300.0
1319,200.0
1320,150.0
1321,400.0
1322,350.0
1323,150.0
1324,100.0
1325,250.0
1326,250.0
1327,400.0
1328,150.0
1329,600.0
1330,150.0
1331,150.0
1332,200.0
1333,500.0
1334,250.0
1335,200.0
1336,150.0
1337,550.0
1338,250.0
1339,100.0
1340,450.0
1341,350.0
1342,200.0
1343,200.0
1344,350.0
1345,150.0
1346,500.0
1347,350.0
1348,400.0
1349,350.0
1350,250.0
1351,400.0
1352,350.0
1353,300.0
1354,100.0
1355,500.0
1356,250.0
1357,300.0
1358,350.0
1359,250.0
1360,400.0
1361,150.0
1362,350.0
1363,450.0
1364,400.0
1365,250.0
1366,350.0
1367,150.0
1368,300.0
1369,400.0
1370,750.0
1371,500.0
1372,300.0
1373,50.0
1374,200.0
1375,100.0
1376,350.0
1377,400.0
1378,400.0
1379,400.0
1380,300.0
1381,300.0
1382,300.0
1383,150.0
1384,400.0
1385,250.0
1386,350.0
1387,250.0
1388,250.0
1389,100.0
1390,150.0
